instance,time_A_s,time_B_s,time_C_s
la01,0.0844,0.4282,1.3636
la05,0.0841,0.4301,1.3694
la17,0.1544,0.7639,2.4391
la20,0.1647,0.7772,2.4437
la32,0.4296,2.0802,6.5053
la35,0.4286,2.0881,6.5504
